"Название модели, книги","Бренд, издательство, фабрика, завод",Категория,"Год производства, начало выпуска модели",Окончание производства,Страна производитель,Город,Инвентаризационный номер,Тираж,"Автор, типография",Серийный номер аппарата,"Вес, гр","Размер аппарата  собранном виде, мм",Тип компоновки,Тип корпуса,Материал корпуса,Тип камеры (по размеру кадра),"Размер кадра, см","Длина открытого меха, мм",Тип фотоматериала,Затвор,Объектив,Номер объектива,Светосила,"Фокус, см",Примечание,,,,,,
"Billy Record 7,7",Agfa,Фотоаппарат,1933,1949,Германия,Мюнхен,1,,,2Н3234,550,165х88х37,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,65,"Плёнка типа 120 (61,5-мм рольфильм)",Compur,Agfa Anastigmat Jgestar,,"1:7,7",,Выпускалось три модели Billy Record по размеру диафрагмы 7.7; 6.3 и 4.5.,,,,,,
Primar ETUI,Kodak  Kamera Werkstatten A-21,Фотоаппарат,1935,,США,,2,,,36900,370,120х85х30,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,95,Пластина,Kodak ,Kodak Anastigmat ,40838,1:6.3,10,"Shutter made in USA by Eastman, Kodak CO at Rochester N.Y. ",,,,,,
Isolette I,Agfa,Фотоаппарат,1954,1958,Германия,Мюнхен,3,,,,570,140х95х35,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х6,50,Пленка ,Vario,Agfa Agnar,,"1:4,5",8.5,"Isolette от Agfa имел инновационный дизайн, определивший развитие камер до 60-х годов 20-го века.",,,,,,
Synchro Box 600,Agfa,Фотоаппарат,1951,1957,Германия,Мюнхен,4,,,,420,115x70x100,"Однообъективная, вертикальная",Бокс камера,"Алюминий, жесть",Форматная,6х9,,"Плёнка типа 120 (61,5-мм рольфильм)","Простой, типа ""Поворотный затвор""","Простой, типа ""Мениск""",, ,,"Рекомендуемые фотоматериалы Agfa Film B2, название ""Синхро"" соответствует механизму синхронизации затвора и вспышки.",,,,,,
Coronet,Coronet,Фотоаппарат,,,Великобритания,,5,,,,450,150х80х35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,70,Пленка ,,Meniscus Lens,,,,,,,,,,
Retina II (142),Kodak,Фотоаппарат,1937,1939,США,,6,,,227848,580,120x80x40,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Малоформатная,"2,4x3,6",20,Плёнка типа 135 (35-мм фотоплёнка),Compur-Rapid,Kodak Ektar,1233932,"1:3,5",5.0,,,,,,,
Москва-5,"КМЗ , Красногорский завод им. С. А. Зверева",Фотоаппарат,1959,,СССР,,7,,,5924770,890,160х100х45,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,100,Пленка ,Момент-24С,Индустар 24,145391,"1:3,5",10.5,,,,,,,
Искра,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1961,,СССР,,8,,,6114697,870,150х105х40,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,6х6,55,Пленка ,Compur Rapid,"Carl Ziess Jena 
",1107035,"1:3,8",7.5,,,,,,,
Perle,Welta,Фотоаппарат,1934,1938,Германия,,9,,,…887,575,120x80x40,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х6,55,Пленка ,,"Trioplan 
Meyer Gorlitz
Compur Rapid",685226,"1:2,9",7.5,,,,,,,
Москва-2,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1955,,СССР,,10,,,5546332,840,155x95x40,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,95,Пленка ,Момент-1,Индустар 23,5547221,"1:4,5",11,,,,,,,
Nettar 515,Ziess Ikon,Фотоаппарат,1937,1941,Германия,Дрезден,11,,,,420,115x85x35,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Малоформатная,"4,5х6",60,Пленка ,,"Novar Anastigmat 
Telma
Zeiss Ikon",-,"1:6,3",7.5,,,,,,,
Bessa (ранняя модель),Voigtländer,Фотоаппарат,1931,1949,Германия,Брауншвейг,12,,,613267,620,160x80x40,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,90,Пленка ,,"Voigtländer 
Braunschweig
Viogtar",1095006,"1:3,5",10.5,,,,,,,
Фонарик сигнальный,,Фонарь,,,,,13,,,,200,110х65х27,,,Алюминий,,,,,,,,,,"Переключение красного и зеленого цветов, возможно использовался для регулирования движения.",,,,,,
Bessa ,Voigtländer,Фотоаппарат,1931,,Германия,Брауншвейг,14,,,459582,520,170x80x40,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,90,"Плёнка типа 120 (61,5-мм рольфильм)",,"Voigtländer 
Braunschweig
Viogtar
Anastigmat",-,"1:7,7",-,"На фронтальной части объектива нанесены 3 надписи красным цветом Landschaft, Gruppe, Portreit",,,,,,
Столик микроскопный,"E. Leitz, Wetzlar",Другое,,,Германия,,15,,,,960,125х100х90,,,"Латунь, стекло",,,,,,,,,,,,,,,,
Полевой Бинокль,Lemaire Fabi,Бинокль,,,"Франция, Париж",,16,,,,365,110х85х45,,,"Латунь, кожа, стекло",,,,,,40,,,,,,,,,,
Полевой Бинокль,Chevalier Opticien,Бинокль,,,Франция,Париж,17,,,,170,105х80х40,,,"Латунь, кожа, стекло",,,,,,27,,,,,,,,,,
Морской бинокль,E.Krause,Бинокль,,,"Франция, Париж",,18,,,,460,130х110х40,,,"Латунь, кожа, стекло",,,,,,35,,,,"Есть дополнительные линзы, предназначение которых не установлено",,,,,,
Полевой Бинокль,Эмиль Бушъ АКЦ О-во,Бинокль,,,Россия,,19,,,,330,110х85х45,,,"Латунь, кожа, стекло",,,,,,40,,,,,,,,,,
    ,Clslas 8,Бинокль,,,,,20,,,,310,115x80x50,,,"Латунь, кожа, стекло",,,,,,40,,,,,,,,,,
Театральный бинокль,Chevalier Opticien,Бинокль,,,Франция,Париж,21,,,,150,100х65х40,,,"Латунь, стекло",,,,,,27,,,,,,,,,,
Полевой Бинокль,Claser 6,Бинокль,,,,,22,,,,290,115x105x50,,,"Латунь, кожа, стекло, дерево",,,,,,40,,,,,,,,,,
Полевой Бинокль,Optical Ruhnke,Бинокль,,,"Германия, Берлин",,23,,,,230,100x75x40,,,"Латунь, кожа, стекло",,,,,,35,,,,,,,,,,
Турист,ГОМЗ ,Фотоаппарат,1934,1938,СССР,,24,"136,600",,-,560,125х90х55,"Однообъективная, вертикальная",Клапп-камера,Бакелит,Форматная,6х9,95,Пластина,ГОМЗ,Индустар 7,24207,"1:3,5","10,5",,,,,,,
CONTESSA NETTEL,Ziess Ikon,Фотоаппарат,,,Германия,Дрезден,25,,,,950,150х110х75,"Однообъективная, горизонтальная",Клапп-камера,"Алюминий, дерево",Форматная,6х9,100,Пластина,,"Carl Ziess Jena 
Tessar",2213884,"1:2,8","7,5",,,,,,,
Weltur,Welta,Фотоаппарат,1936,1940,Германия,,26,,,…82,670,135x95x40,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,6х6,60,Пленка ,,"Meyer Gorlitz
Trioplan",777838,"1:2,9","7,5",Сверху на модели есть таблица соответствия диафрагмы и расстояния,,,,,,
Lumiere,Lumiere,Фотоаппарат,,,Франция,,27,,,,525,150х80х35,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,90,Пленка ,,-,-,,,Безлинзовый объектив,,,,,,
Welti I,Welta,Фотоаппарат,1953,,Германия,,28,,,23262,535,120x80x45,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Малоформатная,"2,4x3,6",35,Плёнка типа 135 (35-мм фотоплёнка),,"Meyer-Optik
Trioplan",1356958,"1:2,9",5,На задней крышке модели есть таблица соответствия диафрагмы и расстояния,,,,,,
Зажигалка,,Другое,,,,,29,,,,65,60х40х12,,,Нержавеющая сталь,,,,,,,,,,,,,,,,
Jcarette (ранняя модель),Ziess Ikon,Фотоаппарат,1920,,Германия,Дрезден,30,,,55608,812,180x80x46,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,60,Пленка,Compur,Ziess Ikon Carl Ziess Jena Tessar,84069,"1:4,5","10,5",,,,,,,
,Hannover list fabrik photographischer apparate,Фотоаппарат,,,Германия,,31,,,,600,150x110x45,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,"9,5x7",85,Пластина,Singlo,Extra Rapid Aplanat ,,1:8,13.5,Внутри наклейка от производителя Hannover list fabrik photographischer apparate S&G и адрес владельца (по всей видимости),,,,,,
